Year,Status,Award,Media,Media2,Name,Url
2002,winner,"Creative Use of the Medium, Affiliated",MSNBC,,Airport Security,http://www.msnbc.com/modules/airport_security/airsecurity_front.asp
2002,finalist,"Creative Use of the Medium, Affiliated",Houston Chronicle,,Title IX at 30,http://chronicle.com/stats/genderequity/
2002,finalist,"Creative Use of the Medium, Affiliated",ESPN,,NFL DraftCast,http://sports.espn.go.com/gamecast/nfl/flash/draftCast/2002/draftcast2002.html
2002,finalist,"Creative Use of the Medium, Affiliated",Los Angeles Times,,Ready or Not: Crashing into Adulthood,http://www.latimes.com/news/custom/showcase/la-foster-special.special
2002,finalist,"Creative Use of the Medium, Affiliated",New York Times,,Photographer&#8217;s Journal,http://www.nytimes.com/photojournal
2002,winner,"Creative Use of the Medium, Independent",Slate,,The Enron Blame Game,http://slate.msn.com/?id=2061470
2002,finalist,"Creative Use of the Medium, Independent",DigitalJournalist.org,,Seeing the Picture,http://digitaljournalist.org/issue0206/sam_intro.htm
2002,finalist,"Creative Use of the Medium, Independent",Mark Fiore,,Find the Terrorist,http://www.markfiore.com/animation/fresh.html
2002,winner,"Enterprise Journalism, Affiliated",Washington Post,,Blue Wall of Silence,http://www.washingtonpost.com/wp-dyn/metro/md/princegeorges/government/police/shootings/
2002,finalist,"Enterprise Journalism, Affiliated",Associated Press,,Torn From the Land,http://wire.ap.org/APpackages/torn/index.html
2002,finalist,"Enterprise Journalism, Affiliated",Los Angeles Times,,Inside the Church of Nativity,http://www.latimes.com/news/custom/showcase/la-051102cole.story
2002,finalist,"Enterprise Journalism, Affiliated",MSNBC,,Airport Security,http://www.msnbc.com/modules/airport_security/airsecurity_front.asp
2002,finalist,"Enterprise Journalism, Affiliated",The Seattle Times,,The Terrorist Within,http://www.seattletimes.com/terroristwithin
2002,winner,"Enterprise Journalism, Independent",CNET,,Online Banking Vulnerable to Hackers,http://news.com.com/2009-1017-891346.html
2002,finalist,"Enterprise Journalism, Independent",CamasMagazine.com,,Inside Job,http://www.camasmagazine.com/inside_job.html
2002,finalist,"Enterprise Journalism, Independent",Salon,,Enron coverage,http://www.salon.com/demo/awards/tapper/
2002,finalist,"Enterprise Journalism, Independent",The Street,,ImClone,http://www.thestreet.com/stocks/biotech/10001274.html
2002,winner,"Feature Journalism, Affiliated",CSMonitor.com,,All Aboard?,http://www.csmonitor.com/specials/amtrak/index.html
2002,finalist,"Feature Journalism, Affiliated",Des Moines Register,,The Truth About Bob,http://DesMoinesRegister.com/extras/bob/index.html
2002,finalist,"Feature Journalism, Affiliated",Associated Press,,Red Planet Rising: A Virtual Exploration of Mars,http://wire.ap.org/APpackages/mars_exploration/index.html
2002,finalist,"Feature Journalism, Affiliated",Houston Chronicle,,Ghost Hunter,http://www.houstonchronicle.com/ghosthunter
2002,winner,"Feature Journalism, Independent",DigitalJournalist.org,,Seeing The Horror,http://dirckhalstead.org/issue0110/seeing_intro.htm
2002,finalist,"Feature Journalism, Independent",NewClearMedia,,The Enemy Within,http://www.newclearmedia.dk/enemy/within.html
2002,finalist,"Feature Journalism, Independent",One World Journeys,,Salmon: Spirit of the Land and Sea,http://www.oneworldjourneys.com/salmon
2002,finalist,"Feature Journalism, Independent",Salon,,Return to Pakistan,http://www.salon.com/demo/awards/nomani/
2002,finalist,"Feature Journalism, Independent",Wired,,Child Pornography series,"http://www.wired.com/news/ebiz/0,1272,45346,00.html"
2002,winner,"General Excellence in Online Journalism &#8211; Affiliated, Large",Washington Post,,Washington Post,http://www.washingtonpost.com
2002,finalist,"General Excellence in Online Journalism &#8211; Affiliated, Large",MSNBC,,MSNBC,http://msnbc.com
2002,finalist,"General Excellence in Online Journalism &#8211; Affiliated, Large",ESPN,,ESPN,http://www.espn.com
2002,finalist,"General Excellence in Online Journalism &#8211; Affiliated, Large",New York Times,,New York Times,http://www.nytimes.com
2002,finalist,"General Excellence in Online Journalism &#8211; Affiliated, Large",USA TODAY,,USA TODAY,http://www.usatoday.com
2002,winner,"General Excellence in Online Journalism &#8211; Affiliated, Small",Frontline/World,,Stories from a Small Planet,http://www.pbs.org/frontlineworld
2002,winner,"General Excellence in Online Journalism &#8211; Independent, Small",Benicia News,,Benicia News,http://benicianws.com
2002,finalist,"General Excellence in Online Journalism &#8211; Independent, Small",Gotham Gazette,,Gotham Gazette,http://www.gothamgazette.com
2002,finalist,"General Excellence in Online Journalism &#8211; Independent, Small",Ivanhoe.com,,Ivanhoe.com,http://www.ivanhoe.com
2002,finalist,"General Excellence in Online Journalism &#8211; Independent, Small",St. Thomas Source,,St. Thomas Source,http://www.stthomassource.com
2002,winner,General Excellence in Online Journalism &#8211; Independent,CNET,,CNET,http://www.news.com/
2002,finalist,General Excellence in Online Journalism &#8211; Independent,Mark Fiore,,"Mark Fiore, Mark Fiore",http://www.markfiore.com
2002,winner,"Service Journalism, Affiliated",Chicago Tribune,,School Report Card,http://www.chicagotribune.com/schools
2002,finalist,"Service Journalism, Affiliated",Minnesota Public Radio,,Changing Currents,http://news.mpr.org/features/200205/06_mainstreet_rivers-m/index.shtml
2002,finalist,"Service Journalism, Affiliated",PBS NewsHour,,"Consumer Reports</a></li>
<li><a href=""http://www.pbs.org/newshour/health/nursinghomes/index.html"">Today&#8217;s Nursing Homes",http://www.consumerreports.org
2002,finalist,"Service Journalism, Affiliated",Philadelphia Inquirer,,Loaded for Trouble,http://www.philly.com/mld/inquirer/news/special_packages/dui
2002,winner,"Service Journalism, Independent",Gotham Gazette,,Rebulding NYC,http://www.gothamgazette.com/rebuilding_nyc
2003,winner,"Breaking News, Affiliated",New York Times,,Coverage of the war in Iraq,http://www.nytimes.com/packages/html/international/20030731_ONA/
2003,finalist,"Breaking News, Affiliated",New York Times,,Coverage of the shuttle Columbia,http://www.nytimes.com/packages/html/national/columbia.html
2003,finalist,"Breaking News, Affiliated",Washington Post,,Coverage of the sniper attacks in and around Washington,http://www.washingtonpost.com/wp-srv/metro/daily/oct02/snipershootings.htm
2003,finalist,"Breaking News, Affiliated",Washington Post,,Coverage of the war in Iraq,http://www.washingtonpost.com/wp-srv/test/sheppard/ona2003/21Mar748p.htm
2003,finalist,"Breaking News, Affiliated",Dallas Morning News,,Coverage of the shuttle Columbia,http://www.wfaa.com/sharedcontent/dallas/specialreports/2003/columbia/index.html
2003,winner,"Breaking News, Independent",Space.com,,Columbia shuttle disaster,http://www.space.com/columbiatragedy/
2003,finalist,"Breaking News, Independent","Dispatches from Iraq, Salon",,Philip Robertson,http://dir.salon.com/topics/phillip_robertson/index.html
2003,finalist,"Breaking News, Independent",BeliefNet,,Franklin Graham‰Ûªs planned relief trip to Iraq,http://www.beliefnet.com/archive/index_030327.html
2003,winner,Commentary,"Middle Seat, The Wall Street Journal",,Scott McCartney,"http://online.wsj.com/article/0,SB104931115963493100,00.html"
2003,finalist,Commentary,The American Prospect,,"Mark Fiore</a></li>
<li><a href=""http://www.prospect.org/webfeatures/2002/08/thrupkaew-n-08-23.html"">Noy Thrupkaew for her columns on everyday life",http://www.markfiore.com/animation/liberation.html
2003,finalist,Commentary,"Common Sense, Smart Money",,James B. Stewart,http://www.smartmoney.com/commonsense/index.cfm?story=20020702
2003,winner,"Creative Use, Affiliated",Democrat and Chronicle,,A Day in the Life of Our Schools,http://www.democratandchronicle.com/homes/community/schoolsindex.shtml
2003,finalist,"Creative Use, Affiliated",KQED,,You Decide,http://www.kqed.org/youdecide/
2003,finalist,"Creative Use, Affiliated",MSNBC,,The Year in Pictures 2002,http://www.msnbc.com/modules/yip02/
2003,finalist,"Creative Use, Affiliated",Providence Journal,,Fire at The Station nightclub,http://www.projo.com/extra/2003/stationfire/
2003,finalist,"Creative Use, Affiliated",USA TODAY,,Clearing the Skies,http://www.usatoday.com/news/sept11/2002-08-12-clearskies_x.htm
2003,winner,"Creative Use, Independent",University of Alaska Fairbanks,,Alaska‰Ûªs Heartland Reacts to the Patriot Act,http://www.uaf.edu/extreme/
2003,finalist,"Creative Use, Independent",Gotham Gazette,,Budget Game,http://www.gothamgazette.com/budgetgame/budgetgame.html
2003,winner,"Enterprise Journalism, Affiliated",Boston.com,,Coverage of the priest abuse scandal,http://www.boston.com/globe/spotlight/abuse/overview/
2003,finalist,"Enterprise Journalism, Affiliated",Winston-Salem Journal,,Against their Will,http://againsttheirwill.journalnow.com
2003,finalist,"Enterprise Journalism, Affiliated",Los Angeles Times,,Enrique‰Ûªs Journey,http://www.latimes.com/enrique
2003,finalist,"Enterprise Journalism, Affiliated",New York Times,,Dangerous Business,http://www.nytimes.com/packages/html/national/mcwane.html
2003,winner,"Enterprise Journalism, Independent",Center for Public Integrity,,Well Connected,http://www.openairwaves.org
2003,finalist,"Enterprise Journalism, Independent",Center for Public Integrity,,The Water Barons,http://www.icij.org/water/
2003,finalist,"Enterprise Journalism, Independent",The Street,,Plenty of Options for EBay,http://www.thestreet.com/tsc/contest2003/ebay.html
2003,finalist,"Enterprise Journalism, Independent",Wired,,Suicide 101,"http://www.wired.com/news/culture/0,1284,57444,00.html"
2003,winner,"Feature Journalism, Affiliated",TimesUnion.com,,Fourth World/Our World,http://timesunion.com/fourthworld
2003,finalist,"Feature Journalism, Affiliated",CBC News,,Canadian healthcare system,http://www.cbc.ca/healthcare
2003,finalist,"Feature Journalism, Affiliated",CNN,,America Remembers: September 11,http://www.cnn.com/SPECIALS/2002/america.remembers
2003,finalist,"Feature Journalism, Affiliated",KQED and Frontline/World,,Cambodia Reporter‰Ûªs Diary: In Search of Justice,http://www.pbs.org/frontlineworld/stories/cambodia/diary.html
2003,winner,"Feature Journalism, Independent",Salon,,Day of the Dead,http://www.salon.com/news/feature/2002/12/04/juarez/
2003,finalist,"Feature Journalism, Independent",CNET,,Digital Remix,http://news.com.com/2009-1027_3-1009395.html
2003,finalist,"Feature Journalism, Independent",Center for Public Integrity,,Making a Killing: The Business of War,http://www.icij.org/dtaweb/icij_bow.asp
2003,finalist,"Feature Journalism, Independent",Space.com,,The New History of Black Holes,http://www.space.com/scienceastronomy/blackhole_history_030128-1.html
2003,winner,"General Excellence in Online Journalism, Affiliated, Large",ESPN,,ESPN,http://espn.go.com/
2003,finalist,"General Excellence in Online Journalism, Affiliated, Large",BBC News,,BBC News,http://news.bbc.co.uk/
2003,finalist,"General Excellence in Online Journalism, Affiliated, Large",The Wall Street Journal,,The Wall Street Journal,http://online.wsj.com/
2003,finalist,"General Excellence in Online Journalism, Affiliated, Large",New York Times,,New York Times,http://www.nytimes.com/
2003,winner,"General Excellence in Online Journalism, Affiliated, Small",Congressional Quarterly,,Congressional Quarterly,http://www.cq.com/
2003,finalist,"General Excellence in Online Journalism, Affiliated, Small",PackerInsider.com,,PackerInsider.com,http://www.packerinsider.com
